tahun,triwulan,nama_kabupaten,jumlah
2020,2,Jakarta Pusat,47
2020,2,Jakarta Utara,127
2020,2,Jakarta Barat,170
2020,2,Jakarta Selatan,59
2020,2,Jakarta Timur,65
