tahun,bulan,nama_kota,jumlah
2019,12,Jakarta Pusat,254
2019,12,Jakarta Utara,405
2019,12,Jakarta Barat,586
2019,12,Jakarta Selatan,235
2019,12,Jakarta Timur,239
