tahun,triwulan,nama_kabupaten,jumlah
2020,1,Jakarta Pusat,35
2020,1,Jakarta Utara,86
2020,1,Jakarta Barat,112
2020,1,Jakarta Selatan,54
2020,1,Jakarta Timur,57
