tahun,bulan,nama_kota,jumlah
2019,09,Jakarta Pusat,82
2019,09,Jakarta Utara,108
2019,09,Jakarta Barat,149
2019,09,Jakarta Selatan,63
2019,09,Jakarta Timur,57
