tahun,bulan,nama_kota,jumlah
2019,03,JAKARTA PUSAT,56
2019,03,JAKARTA UTARA,99
2019,03,JAKARTA BARAT,145
2019,03,JAKARTA SELATAN,50
2019,03,JAKARTA TIMUR,43
