tahun,triwulan,nama_kabupaten,jumlah
2020,04,Jakarta Pusat,38
2020,04,Jakarta Utara,94
2020,04,Jakarta Barat,134
2020,04,Jakarta Selatan,35
2020,04,Jakarta Timur,72
